E0170    50.45091 -112.12216   779
E0172    50.45102 -112.12238   779
E0174    50.45112 -112.12261   779
E0176    50.45123 -112.12284   779
E0178    50.45133 -112.12307   779
E0180    50.45144 -112.12330   779
E0182    50.45154 -112.12352   779
E0184    50.45165 -112.12375   779
E0186    50.45175 -112.12398   779
E0190    50.45196 -112.12443   779
E0192    50.45206 -112.12466   779
E0194    50.45217 -112.12489   779
E0196    50.45227 -112.12511   779
E0198    50.45238 -112.12534   779
E0200    50.45248 -112.12557   779
E0202    50.45258 -112.12579   779
ED202    50.45258 -112.12579   779
E0204    50.45269 -112.12602   779
E0206    50.45279 -112.12625   779
E0208    50.45290 -112.12647   779
ED208    50.45290 -112.12647   779
F0002    50.44721 -112.12695   779
F0003    50.44811 -112.12697   779
F0004    50.44901 -112.12699   779
F0005    50.44991 -112.12702   779
F0006    50.45081 -112.12704   779
F0007    50.45171 -112.12706   779
FD007    50.45171 -112.12706   779
F0008    50.45261 -112.12708   779
F0009    50.45351 -112.12710   779
F0101    50.44633 -112.12552   779
FD101    50.44633 -112.12552   779
F0103    50.44812 -112.12556   779
F0104    50.44902 -112.12559   779
F0105    50.44992 -112.12561   779
F0106    50.45082 -112.12563   779
F0107    50.45172 -112.12565   779
F0110    50.45442 -112.12571   779
F0201    50.44634 -112.12411   779
F0204    50.44904 -112.12418   779
F0205    50.44994 -112.12420   779
F0206    50.45084 -112.12422   779
FD207    50.45174 -112.12424   779
F0207    50.45174 -112.12424   779
F0209    50.45353 -112.12428   779
F0210    50.45443 -112.12431   779
F0301    50.44635 -112.12271   779
F0302    50.44725 -112.12273   779
F0303    50.44815 -112.12275   779
FD304    50.44905 -112.12277   779
F0305    50.44995 -112.12279   779
F0306    50.45085 -112.12281   779
F0308    50.45265 -112.12285   779
F0309    50.45355 -112.12288   779
F0310    50.45445 -112.12290   779
F0401    50.44637 -112.12130   779
F0402    50.44727 -112.12132   779
F0403    50.44817 -112.12134   779
F0404    50.44906 -112.12136   779
FD406    50.45086 -112.12140   779
F0407    50.45176 -112.12142   779
F0408    50.45266 -112.12145   779
F0409    50.45356 -112.12147   779
F0410    50.45446 -112.12149   779
F0501    50.44638 -112.11989   779
F0502    50.44728 -112.11991   779
F0503    50.44818 -112.11993   779
F0504    50.44908 -112.11995   779
F0507    50.45178 -112.12002   779
F0508    50.45268 -112.12004   779
F0509    50.45357 -112.12006   779
F0510    50.45447 -112.12008   779
F0601    50.44639 -112.11848   779
F0602    50.44729 -112.11850   779
F0603    50.44819 -112.11852   779
FD604    50.44909 -112.11854   779
F0605    50.44999 -112.11857   779
F0606    50.45089 -112.11859   779
FD608    50.45269 -112.11863   779
F0608    50.45269 -112.11863   779
F0609    50.45359 -112.11865   779
F0610    50.45449 -112.11867   779
F0701    50.44641 -112.11707   779
F0702    50.44731 -112.11709   779
F0704    50.44911 -112.11714   779
F0705    50.45000 -112.11716   779
F0706    50.45090 -112.11718   779
F0707    50.45180 -112.11720   779
F0709    50.45360 -112.11724   779
F0710    50.45450 -112.11726   779
F0801    50.44642 -112.11566   779
F0804    50.44912 -112.11573   779
F0805    50.45002 -112.11575   779
F0806    50.45092 -112.11577   779
F0807    50.45182 -112.11579   779
F0808    50.45272 -112.11581   779
F0810    50.45451 -112.11585   779
F0902    50.44733 -112.11428   779
F0903    50.44823 -112.11430   779
F0904    50.44913 -112.11432   779
F0905    50.45003 -112.11434   779
F0906    50.45093 -112.11436   779
F0907    50.45183 -112.11438   779
F0908    50.45273 -112.11440   779
F0909    50.45363 -112.11443   779
D0189    50.45251 -112.11844   779
